gene    set1 set2
Gene1499 1 0
Gene1500 0 0
Gene1501 1 1
Gene1502 1 0
Gene1503 0 0
Gene1504 0 0
Gene1505 1 1
Gene1506 0 1
Gene1507 0 0
Gene1508 0 1
Gene1509 0 1
Gene1510 0 1
Gene1511 0 1
Gene1512 1 0
Gene1513 1 1
Gene1514 0 1
Gene1515 0 1
Gene1516 0 1
Gene1517 0 0
Gene1518 0 1
Gene1519 0 0
Gene1520 0 0
Gene1521 1 0
Gene1522 0 0
Gene1523 1 1
Gene1524 0 0
Gene1525 1 0
Gene1526 0 0
Gene1527 0 0
Gene1528 0 1
Gene1529 1 0
Gene1530 0 0
Gene1531 1 0
Gene1532 1 0
Gene1533 1 1
Gene1534 0 1
Gene1535 0 0
Gene1536 0 0
Gene1537 0 1
Gene1538 0 0
Gene1539 1 1
Gene1540 0 1
Gene1541 0 1
Gene1542 1 0
Gene1543 0 1
Gene1544 0 0
Gene1545 1 0
Gene1546 0 1
Gene1547 0 0
Gene1548 0 0
Gene1549 1 1
Gene1550 1 1
Gene1551 1 0
Gene1552 0 1
Gene1553 0 0
Gene1554 0 0
Gene1555 0 0
Gene1556 0 0
Gene1557 1 0
Gene1558 0 0
Gene1559 0 0
Gene1560 1 0
Gene1561 1 1
Gene1562 0 1
Gene1563 1 1
Gene1564 0 0
Gene1565 0 1
Gene1566 0 0
Gene1567 0 0
Gene1568 1 1
Gene1569 0 0
Gene1570 1 0
Gene1571 0 1
Gene1572 0 0
Gene1573 1 0
Gene1574 0 0
Gene1575 0 0
Gene1576 1 1
Gene1577 0 1
Gene1578 0 0
Gene1579 0 0
Gene1580 0 0
Gene1581 1 0
Gene1582 0 0
Gene1583 0 1
Gene1584 0 1
Gene1585 1 1
Gene1586 1 1
Gene1587 1 0
Gene1588 0 0
Gene1589 0 0
Gene1590 0 0
Gene1591 1 0
Gene1592 1 1
Gene1593 1 0
Gene1594 0 0
Gene1595 0 0
Gene1596 0 0
Gene1597 0 0
Gene1598 0 0
Gene1599 1 1
Gene1600 0 1
Gene1601 1 1
Gene1602 0 0
Gene1603 0 1
Gene1604 1 1
Gene1605 1 1
Gene1606 0 0
Gene1607 1 1
Gene1608 0 1
Gene1609 1 1
Gene1610 0 1
Gene1611 0 1
Gene1612 1 0
Gene1613 0 0
Gene1614 1 0
Gene1615 1 1
Gene1616 0 1
Gene1617 1 1
Gene1618 0 0
Gene1619 0 0
Gene1620 0 1
Gene1621 0 1
Gene1622 0 1
Gene1623 0 0
Gene1624 1 0
Gene1625 0 0
Gene1626 1 1
Gene1627 0 1
Gene1628 0 1
Gene1629 1 1
Gene1630 1 1
Gene1631 1 0
Gene1632 0 0
Gene1633 0 1
Gene1634 1 1
Gene1635 1 0
Gene1636 1 0
Gene1637 0 0
Gene1638 0 0
Gene1639 0 0
Gene1640 1 1
Gene1641 0 0
Gene1642 1 0
Gene1643 1 0
Gene1644 1 1
Gene1645 0 1
Gene1646 1 0
Gene1647 1 0
Gene1648 1 0
Gene1649 0 1
Gene1650 0 1
Gene1651 0 0
Gene1652 1 0
Gene1653 0 1
Gene1654 0 0
Gene1655 0 0
Gene1656 0 0
Gene1657 0 1
Gene1658 1 0
Gene1659 0 0
Gene1660 1 0
Gene1661 1 0
Gene1662 0 1
Gene1663 0 0
Gene1664 1 0
Gene1665 1 0
Gene1666 0 0
Gene1667 1 0
Gene1668 0 1
Gene1669 0 0
Gene1670 0 0
Gene1671 1 1
Gene1672 0 0
Gene1673 0 0
Gene1674 1 0
Gene1675 0 1
Gene1676 1 0
Gene1677 0 0
Gene1678 1 0
Gene1679 1 1
Gene1680 0 0
Gene1681 0 1
Gene1682 0 0
Gene1683 1 1
Gene1684 0 1
Gene1685 0 0
Gene1686 0 0
Gene1687 0 0
Gene1688 0 0
Gene1689 1 0
Gene1690 1 1
Gene1691 0 0
Gene1692 0 1
Gene1693 0 1
Gene1694 1 0
Gene1695 1 0
Gene1696 1 0
Gene1697 1 0
Gene1698 1 0
Gene1699 0 1
Gene1700 0 0
Gene1701 1 1
Gene1702 0 0
Gene1703 0 0
Gene1704 1 0
Gene1705 1 1
Gene1706 1 0
Gene1707 0 1
Gene1708 0 0
Gene1709 1 0
Gene1710 1 0
Gene1711 0 0
Gene1712 0 0
Gene1713 0 0
Gene1714 1 1
Gene1715 0 1
Gene1716 1 1
Gene1717 0 0
Gene1718 0 1
Gene1719 1 0
Gene1720 0 0
Gene1721 1 1
Gene1722 0 0
Gene1723 0 1
Gene1724 0 0
Gene1725 0 1
Gene1726 1 0
Gene1727 0 0
Gene1728 1 1
Gene1729 0 0
Gene1730 0 0
Gene1731 1 0
Gene1732 0 0
Gene1733 0 1
Gene1734 1 1
Gene1735 1 0
Gene1736 1 0
Gene1737 0 1
Gene1738 1 0
Gene1739 1 0
Gene1740 1 0
Gene1741 0 0
Gene1742 1 0
Gene1743 0 0
Gene1744 0 0
Gene1745 0 0
Gene1746 0 1
Gene1747 1 0
Gene1748 1 0
Gene1749 1 0
Gene1750 0 0
Gene1751 1 0
Gene1752 1 0
Gene1753 1 0
Gene1754 1 1
Gene1755 1 0
Gene1756 0 0
Gene1757 1 1
Gene1758 0 0
Gene1759 0 1
Gene1760 1 1
Gene1761 1 1
Gene1762 0 1
Gene1763 0 0
Gene1764 0 1
Gene1765 0 0
Gene1766 1 0
Gene1767 1 0
Gene1768 0 1
Gene1769 1 1
Gene1770 1 0
Gene1771 1 1
Gene1772 1 0
Gene1773 0 0
Gene1774 1 1
Gene1775 0 1
Gene1776 0 0
Gene1777 0 0
Gene1778 0 0
Gene1779 1 1
Gene1780 0 1
Gene1781 0 0
Gene1782 0 0
Gene1783 1 0
Gene1784 1 1
Gene1785 0 1
Gene1786 0 0
Gene1787 1 0
Gene1788 0 0
Gene1789 1 0
Gene1790 1 0
Gene1791 0 1
Gene1792 0 1
Gene1793 0 0
Gene1794 1 1
Gene1795 0 0
Gene1796 0 1
Gene1797 1 0
Gene1798 1 1
Gene1799 0 0
Gene1800 0 0
Gene1801 0 0
Gene1802 1 1
Gene1803 0 1
Gene1804 1 1
Gene1805 1 0
Gene1806 0 0
Gene1807 1 1
Gene1808 0 0
Gene1809 1 1
Gene1810 0 1
Gene1811 0 0
Gene1812 0 1
Gene1813 1 1
Gene1814 1 0
Gene1815 0 0
Gene1816 0 0
Gene1817 1 0
Gene1818 0 0
Gene1819 1 0
Gene1820 0 1
Gene1821 1 0
Gene1822 0 0
Gene1823 0 1
Gene1824 1 0
Gene1825 0 0
Gene1826 1 1
Gene1827 0 1
Gene1828 1 0
Gene1829 1 0
Gene1830 1 1
Gene1831 1 0
Gene1832 0 1
Gene1833 1 1
Gene1834 0 1
Gene1835 0 0
Gene1836 0 0
Gene1837 1 1
Gene1838 0 0
Gene1839 1 1
Gene1840 1 1
Gene1841 0 1
Gene1842 0 0
Gene1843 0 1
Gene1844 1 1
Gene1845 0 1
Gene1846 0 0
Gene1847 1 1
Gene1848 0 0
Gene1849 1 0
Gene1850 0 1
Gene1851 1 0
Gene1852 1 1
Gene1853 0 0
Gene1854 0 0
Gene1855 0 0
Gene1856 0 0
Gene1857 1 0
Gene1858 0 0
Gene1859 1 0
Gene1860 1 1
Gene1861 0 0
Gene1862 1 1
Gene1863 0 1
Gene1864 1 0
Gene1865 0 1
Gene1866 0 0
Gene1867 0 1
Gene1868 1 0
Gene1869 0 0
Gene1870 1 0
Gene1871 0 1
Gene1872 1 1
Gene1873 0 0
Gene1874 0 0
Gene1875 0 0
Gene1876 1 1
Gene1877 0 1
Gene1878 0 1
Gene1879 1 1
Gene1880 0 1
Gene1881 1 0
Gene1882 0 0
Gene1883 0 0
Gene1884 0 0
Gene1885 0 1
Gene1886 1 1
Gene1887 0 1
Gene1888 0 1
Gene1889 0 1
Gene1890 1 0
Gene1891 0 1
Gene1892 1 1
Gene1893 0 1
Gene1894 1 0
Gene1895 1 0
Gene1896 0 0
Gene1897 0 0
Gene1898 1 1
Gene1899 0 0
Gene1900 0 0
Gene1901 0 1
Gene1902 0 0
Gene1903 0 1
Gene1904 1 1
Gene1905 0 1
Gene1906 0 0
Gene1907 0 0
Gene1908 1 0
Gene1909 1 0
Gene1910 1 0
Gene1911 0 0
Gene1912 0 0
Gene1913 0 1
Gene1914 1 1
Gene1915 1 0
Gene1916 0 0
Gene1917 0 1
Gene1918 1 0
Gene1919 1 0
Gene1920 0 1
Gene1921 1 1
Gene1922 0 0
Gene1923 1 0
Gene1924 0 1
Gene1925 0 0
Gene1926 0 0
Gene1927 0 0
Gene1928 0 0
Gene1929 0 1
Gene1930 1 0
Gene1931 0 0
Gene1932 0 1
Gene1933 0 0
Gene1934 0 0
Gene1935 0 1
Gene1936 0 0
Gene1937 0 0
Gene1938 1 0
Gene1939 0 1
Gene1940 1 0
Gene1941 0 0
Gene1942 0 1
Gene1943 0 1
Gene1944 1 0
Gene1945 0 0
Gene1946 1 0
Gene1947 0 0
Gene1948 1 0
Gene1949 1 1
Gene1950 0 1
Gene1951 0 1
Gene1952 1 1
Gene1953 0 0
Gene1954 0 0
Gene1955 0 0
Gene1956 0 1
Gene1957 0 1
Gene1958 1 0
Gene1959 0 0
Gene1960 0 0
Gene1961 1 1
Gene1962 0 0
Gene1963 0 0
Gene1964 0 1
Gene1965 0 0
Gene1966 0 0
Gene1967 0 1
Gene1968 0 0
Gene1969 1 1
Gene1970 0 0
Gene1971 0 1
Gene1972 1 0
Gene1973 0 1
Gene1974 0 1
Gene1975 1 0
Gene1976 1 1
Gene1977 0 0
Gene1978 0 0
Gene1979 1 1
Gene1980 0 0
Gene1981 1 1
Gene1982 0 0
Gene1983 0 0
Gene1984 0 0
Gene1985 1 0
Gene1986 0 1
Gene1987 0 1
Gene1988 0 1
Gene1989 1 1
Gene1990 0 0
Gene1991 0 1
Gene1992 0 1
Gene1993 1 0
Gene1994 0 0
Gene1995 0 0
Gene1996 1 0
Gene1997 0 0
Gene1998 1 0
Gene1999 0 1
Gene2000 0 0
Gene2001 0 0
Gene2002 0 0
Gene2003 0 1
Gene2004 0 1
Gene2005 0 0
Gene2006 1 1
Gene2007 0 0
Gene2008 0 1
Gene2009 0 1
Gene2010 0 0
Gene2011 1 0
Gene2012 0 0
Gene2013 0 0
Gene2014 1 0
Gene2015 1 1
Gene2016 0 1
Gene2017 1 0
Gene2018 0 1
Gene2019 0 0
Gene2020 0 1
Gene2021 1 1
Gene2022 0 0
Gene2023 1 0
Gene2024 0 0
Gene2025 0 0
Gene2026 0 0
Gene2027 1 1
Gene2028 0 0
Gene2029 0 1
Gene2030 1 1
Gene2031 0 1
Gene2032 0 0
Gene2033 0 0
Gene2034 0 1
Gene2035 0 0
Gene2036 1 0
Gene2037 1 0
Gene2038 1 0
Gene2039 1 0
Gene2040 1 1
Gene2041 0 1
Gene2042 0 0
Gene2043 0 0
Gene2044 1 1
Gene2045 1 0
Gene2046 1 1
Gene2047 1 1
Gene2048 0 1
Gene2049 0 0
Gene2050 0 1
Gene2051 0 1
Gene2052 0 0
Gene2053 1 0
Gene2054 0 0
Gene2055 1 0
Gene2056 0 1
Gene2057 1 1
Gene2058 1 0
Gene2059 1 0
Gene2060 1 1
Gene2061 0 0
Gene2062 1 0
Gene2063 1 0
Gene2064 1 0
Gene2065 0 1
Gene2066 0 0
Gene2067 0 0
Gene2068 0 0
Gene2069 1 1
Gene2070 1 0
Gene2071 0 0
Gene2072 1 0
Gene2073 1 0
Gene2074 0 0
Gene2075 1 0
Gene2076 1 1
Gene2077 0 0
Gene2078 0 0
Gene2079 1 0
Gene2080 0 0
Gene2081 0 1
Gene2082 1 0
Gene2083 1 0
Gene2084 0 0
Gene2085 0 1
Gene2086 1 0
Gene2087 0 0
Gene2088 1 0
Gene2089 1 0
Gene2090 0 0
Gene2091 0 0
Gene2092 0 0
Gene2093 0 0
Gene2094 0 1
Gene2095 0 1
Gene2096 1 1
Gene2097 1 0
Gene2098 0 1
Gene2099 0 0
Gene2100 0 1
Gene2101 1 0
Gene2102 0 0
Gene2103 0 0
Gene2104 1 0
Gene2105 1 0
Gene2106 1 1
Gene2107 0 1
Gene2108 0 0
Gene2109 1 0
Gene2110 1 0
Gene2111 1 0
Gene2112 0 1
Gene2113 0 0
Gene2114 0 0
Gene2115 0 0
Gene2116 0 0
Gene2117 1 1
Gene2118 0 0
Gene2119 1 0
Gene2120 1 1
Gene2121 1 0
Gene2122 1 1
Gene2123 0 0
Gene2124 0 1
Gene2125 1 1
Gene2126 0 1
Gene2127 1 1
Gene2128 0 1
Gene2129 0 0
Gene2130 1 0
Gene2131 0 1
Gene2132 0 0
Gene2133 0 0
Gene2134 0 0
Gene2135 1 0
Gene2136 0 1
Gene2137 0 0
Gene2138 1 0
Gene2139 1 0
Gene2140 0 1
Gene2141 1 0
Gene2142 0 1
Gene2143 0 0
Gene2144 0 0
Gene2145 0 1
Gene2146 0 1
Gene2147 0 1
Gene2148 0 0
Gene2149 1 1
Gene2150 1 1
Gene2151 0 0
Gene2152 1 0
Gene2153 1 0
Gene2154 0 0
Gene2155 0 1
Gene2156 0 1
Gene2157 0 1
Gene2158 1 1
Gene2159 0 0
Gene2160 0 0
Gene2161 1 0
Gene2162 0 0
Gene2163 1 1
Gene2164 1 0
Gene2165 0 0
Gene2166 1 0
Gene2167 0 1
Gene2168 1 1
Gene2169 1 0
Gene2170 0 1
Gene2171 0 1
Gene2172 0 0
Gene2173 0 0
Gene2174 0 0
Gene2175 1 1
Gene2176 0 0
Gene2177 0 1
Gene2178 1 1
Gene2179 0 0
Gene2180 1 1
Gene2181 1 0
Gene2182 1 1
Gene2183 0 1
Gene2184 0 1
Gene2185 1 0
Gene2186 0 1
Gene2187 1 0
Gene2188 1 0
Gene2189 0 1
Gene2190 1 1
Gene2191 1 0
Gene2192 0 0
Gene2193 1 0
Gene2194 1 0
Gene2195 1 1
Gene2196 1 0
Gene2197 1 0
Gene2198 0 1
Gene2199 0 1
Gene2200 0 0
Gene2201 1 0
Gene2202 1 0
Gene2203 1 0
Gene2204 0 0
Gene2205 0 0
Gene2206 0 1
Gene2207 0 0
Gene2208 1 1
Gene2209 0 0
Gene2210 0 0
Gene2211 0 0
Gene2212 1 0
Gene2213 0 0
Gene2214 0 0
Gene2215 0 1
Gene2216 0 1
Gene2217 0 0
Gene2218 1 0
Gene2219 0 0
Gene2220 0 1
Gene2221 0 1
Gene2222 1 0
Gene2223 1 1
Gene2224 0 0
Gene2225 1 1
Gene2226 0 1
Gene2227 0 0
Gene2228 0 0
Gene2229 1 0
Gene2230 0 0
Gene2231 1 1
Gene2232 1 0
Gene2233 0 0
Gene2234 1 0
Gene2235 0 0
Gene2236 0 0
Gene2237 1 0
Gene2238 0 0
Gene2239 0 0
Gene2240 1 0
Gene2241 0 0
Gene2242 1 0
Gene2243 0 0
Gene2244 1 0
Gene2245 1 0
Gene2246 1 0
Gene2247 0 0
Gene2248 1 0
Gene2249 0 0
Gene2250 0 0
Gene2251 1 1
Gene2252 1 0
Gene2253 0 0
Gene2254 1 0
Gene2255 0 0
Gene2256 0 0
Gene2257 1 0
Gene2258 0 0
Gene2259 0 0
Gene2260 1 0
Gene2261 1 1
Gene2262 1 1
Gene2263 0 1
Gene2264 0 1
Gene2265 1 0
Gene2266 0 1
Gene2267 0 0
Gene2268 1 0
Gene2269 0 0
Gene2270 0 1
Gene2271 0 0
Gene2272 0 1
Gene2273 0 1
Gene2274 0 1
Gene2275 1 0
Gene2276 1 1
Gene2277 1 1
Gene2278 0 0
Gene2279 0 0
Gene2280 0 1
Gene2281 0 1
Gene2282 1 0
Gene2283 0 0
Gene2284 0 0
Gene2285 0 1
Gene2286 0 0
Gene2287 0 0
Gene2288 0 0
Gene2289 1 1
Gene2290 0 0
Gene2291 0 0
Gene2292 1 1
Gene2293 0 1
Gene2294 0 1
Gene2295 1 1
Gene2296 0 1
Gene2297 0 0
Gene2298 1 1
Gene2299 1 0
Gene2300 1 0
Gene2301 0 0
Gene2302 1 0
Gene2303 0 0
Gene2304 1 1
Gene2305 1 0
Gene2306 0 0
Gene2307 0 0
Gene2308 1 1
Gene2309 1 1
Gene2310 0 0
Gene2311 0 1
Gene2312 0 0
Gene2313 0 0
Gene2314 1 0
Gene2315 1 0
Gene2316 1 1
Gene2317 0 1
Gene2318 1 0
Gene2319 0 1
Gene2320 0 0
Gene2321 1 1
Gene2322 0 1
Gene2323 0 1
Gene2324 1 1
Gene2325 0 0
Gene2326 0 1
Gene2327 0 1
Gene2328 0 1
Gene2329 0 0
Gene2330 0 0
Gene2331 0 0
Gene2332 0 1
Gene2333 1 0
Gene2334 1 1
Gene2335 1 0
Gene2336 0 0
Gene2337 0 0
Gene2338 1 0
Gene2339 1 1
Gene2340 1 1
Gene2341 1 0
Gene2342 0 1
Gene2343 1 0
Gene2344 1 1
Gene2345 0 0
Gene2346 0 1
Gene2347 0 0
Gene2348 0 0
Gene2349 0 1
Gene2350 0 0
Gene2351 1 1
Gene2352 1 0
Gene2353 0 1
Gene2354 1 1
Gene2355 0 0
Gene2356 0 0
Gene2357 0 0
Gene2358 0 0
Gene2359 0 0
Gene2360 0 0
Gene2361 0 1
Gene2362 1 0
Gene2363 0 0
Gene2364 1 0
Gene2365 0 0
Gene2366 0 0
Gene2367 0 0
Gene2368 1 1
Gene2369 1 1
Gene2370 0 0
Gene2371 1 0
Gene2372 0 0
Gene2373 0 0
Gene2374 0 0
Gene2375 0 1
Gene2376 0 1
Gene2377 1 1
Gene2378 0 1
Gene2379 0 0
Gene2380 1 0
Gene2381 0 1
Gene2382 0 0
Gene2383 1 0
Gene2384 0 1
Gene2385 1 0
Gene2386 0 1
Gene2387 0 0
Gene2388 1 0
Gene2389 0 1
Gene2390 1 0
Gene2391 0 1
Gene2392 0 0
Gene2393 0 1
Gene2394 0 1
Gene2395 1 1
Gene2396 1 0
Gene2397 0 0
Gene2398 0 0
Gene2399 1 1
Gene2400 1 1
Gene2401 1 1
Gene2402 1 0
Gene2403 0 0
Gene2404 1 0
Gene2405 1 0
Gene2406 0 0
Gene2407 0 0
Gene2408 1 0
Gene2409 1 0
Gene2410 0 1
Gene2411 1 0
Gene2412 1 1
Gene2413 0 1
Gene2414 0 0
Gene2415 1 0
Gene2416 0 0
Gene2417 0 0
Gene2418 0 1
Gene2419 1 0
Gene2420 0 1
Gene2421 0 0
Gene2422 1 0
Gene2423 0 1
Gene2424 0 1
Gene2425 1 0
Gene2426 0 0
Gene2427 0 0
Gene2428 1 0
Gene2429 0 0
Gene2430 1 0
Gene2431 1 0
Gene2432 0 1
Gene2433 0 1
Gene2434 1 1
Gene2435 0 0
Gene2436 0 1
Gene2437 0 1
Gene2438 1 0
Gene2439 0 1
Gene2440 1 1
Gene2441 1 1
Gene2442 0 0
Gene2443 0 0
Gene2444 0 0
Gene2445 0 0
Gene2446 1 1
Gene2447 0 0
Gene2448 0 1
Gene2449 0 0
Gene2450 0 1
Gene2451 1 0
Gene2452 0 0
Gene2453 0 0
Gene2454 1 0
Gene2455 1 1
Gene2456 1 1
Gene2457 1 0
Gene2458 0 0
Gene2459 1 0
Gene2460 0 1
Gene2461 0 1
Gene2462 1 0
Gene2463 1 0
Gene2464 0 1
Gene2465 0 0
Gene2466 0 1
Gene2467 0 0
Gene2468 0 1
Gene2469 0 1
Gene2470 0 0
Gene2471 0 1
Gene2472 0 0
Gene2473 0 1
Gene2474 0 1
Gene2475 0 0
Gene2476 0 0
Gene2477 1 1
Gene2478 0 0
Gene2479 1 0
Gene2480 0 0
Gene2481 0 1
Gene2482 0 0
Gene2483 1 1
Gene2484 0 1
Gene2485 1 1
Gene2486 0 0
Gene2487 0 1
Gene2488 1 1
Gene2489 0 1
Gene2490 1 1
Gene2491 1 1
Gene2492 0 0
Gene2493 0 0
Gene2494 1 1
Gene2495 1 1
Gene2496 1 0
Gene2497 1 1
Gene2498 0 1
Gene2499 1 0
Gene2500 0 0
Gene2501 1 0
Gene2502 1 0
Gene2503 1 0
Gene2504 0 1
Gene2505 1 0
Gene2506 0 0
Gene2507 1 1
Gene2508 1 0
Gene2509 1 0
Gene2510 0 0
Gene2511 0 1
Gene2512 0 0
Gene2513 0 0
Gene2514 0 0
Gene2515 1 1
Gene2516 1 1
Gene2517 0 1
Gene2518 1 0
Gene2519 0 1
Gene2520 0 0
Gene2521 1 0
Gene2522 1 0
Gene2523 1 1
Gene2524 0 1
Gene2525 0 0
Gene2526 1 1
Gene2527 0 0
Gene2528 0 0
Gene2529 0 0
Gene2530 1 1
Gene2531 1 1
Gene2532 0 0
Gene2533 1 0
Gene2534 0 0
Gene2535 1 0
Gene2536 0 1
Gene2537 0 1
Gene2538 1 1
Gene2539 1 0
Gene2540 1 0
Gene2541 1 0
Gene2542 0 1
Gene2543 1 0
Gene2544 1 0
Gene2545 1 1
Gene2546 1 0
Gene2547 0 1
Gene2548 1 0
Gene2549 0 0
Gene2550 0 0
Gene2551 0 1
Gene2552 0 1
Gene2553 0 1
Gene2554 0 0
Gene2555 1 1
Gene2556 0 0
Gene2557 0 0
Gene2558 0 0
Gene2559 0 1
Gene2560 0 1
Gene2561 0 1
Gene2562 1 1
Gene2563 0 1
Gene2564 0 1
Gene2565 0 0
Gene2566 1 0
Gene2567 0 0
Gene2568 0 1
Gene2569 0 0
Gene2570 1 0
Gene2571 0 0
Gene2572 0 0
Gene2573 0 0
Gene2574 0 0
Gene2575 0 1
Gene2576 0 1
Gene2577 0 1
Gene2578 0 0
Gene2579 0 0
Gene2580 1 0
Gene2581 1 1
Gene2582 0 0
Gene2583 1 0
Gene2584 0 1
Gene2585 0 1
Gene2586 0 1
Gene2587 1 1
Gene2588 1 0
Gene2589 0 0
Gene2590 0 1
Gene2591 0 0
Gene2592 1 0
Gene2593 1 1
Gene2594 0 0
Gene2595 0 0
Gene2596 1 0
Gene2597 0 1
Gene2598 1 0
Gene2599 1 1
Gene2600 0 0
Gene2601 0 0
Gene2602 1 0
Gene2603 0 0
Gene2604 1 0
Gene2605 0 0
Gene2606 0 1
Gene2607 1 0
Gene2608 0 1
Gene2609 1 1
Gene2610 0 0
Gene2611 1 0
Gene2612 0 0
Gene2613 0 1
Gene2614 0 0
Gene2615 0 1
Gene2616 1 0
Gene2617 0 0
Gene2618 0 0
Gene2619 0 0
Gene2620 1 0
Gene2621 1 0
Gene2622 0 0
Gene2623 0 0
Gene2624 1 0
Gene2625 1 0
Gene2626 0 1
Gene2627 0 0
Gene2628 0 0
Gene2629 0 1
Gene2630 0 0
Gene2631 1 0
Gene2632 1 0
Gene2633 0 0
Gene2634 0 0
Gene2635 0 1
Gene2636 0 0
Gene2637 1 0
Gene2638 1 1
Gene2639 1 0
Gene2640 0 1
Gene2641 0 0
Gene2642 1 0
Gene2643 0 1
Gene2644 0 0
Gene2645 1 0
Gene2646 1 0
Gene2647 1 1
Gene2648 0 0
Gene2649 0 0
Gene2650 0 0
Gene2651 1 0
Gene2652 1 0
Gene2653 1 1
Gene2654 0 1
Gene2655 0 0
Gene2656 1 0
Gene2657 0 0
Gene2658 1 1
Gene2659 0 0
Gene2660 1 1
Gene2661 0 0
Gene2662 0 0
Gene2663 1 1
Gene2664 0 1
Gene2665 0 0
Gene2666 1 0
Gene2667 0 1
Gene2668 0 0
Gene2669 0 1
Gene2670 0 0
Gene2671 0 1
Gene2672 0 0
Gene2673 1 0
Gene2674 0 1
Gene2675 0 0
Gene2676 0 0
Gene2677 0 0
Gene2678 1 1
Gene2679 0 0
Gene2680 0 1
Gene2681 0 1
Gene2682 0 0
Gene2683 1 0
Gene2684 1 1
Gene2685 0 0
Gene2686 1 1
Gene2687 0 0
Gene2688 1 1
Gene2689 0 0
Gene2690 1 0
Gene2691 0 0
Gene2692 0 1
Gene2693 0 0
Gene2694 0 1
Gene2695 1 0
Gene2696 1 0
Gene2697 0 0
Gene2698 1 1
Gene2699 1 0
Gene2700 1 1
Gene2701 0 1
Gene2702 1 0
Gene2703 0 1
Gene2704 1 0
Gene2705 0 0
Gene2706 1 1
Gene2707 1 1
Gene2708 1 0
Gene2709 1 0
Gene2710 0 0
Gene2711 1 0
Gene2712 0 1
Gene2713 0 0
Gene2714 0 1
Gene2715 0 1
Gene2716 1 0
Gene2717 0 0
Gene2718 0 0
Gene2719 1 0
Gene2720 0 1
Gene2721 1 0
Gene2722 0 0
Gene2723 0 1
Gene2724 1 1
Gene2725 1 0
Gene2726 1 0
Gene2727 1 0
Gene2728 0 0
Gene2729 0 0
Gene2730 0 1
Gene2731 0 1
Gene2732 1 1
Gene2733 1 0
Gene2734 0 0
Gene2735 1 0
Gene2736 0 1
Gene2737 1 0
Gene2738 1 0
Gene2739 1 0
Gene2740 1 0
Gene2741 0 0
Gene2742 0 1
Gene2743 0 1
Gene2744 0 0
Gene2745 1 0
Gene2746 1 0
Gene2747 0 0
Gene2748 0 0
Gene2749 0 0
Gene2750 0 1
Gene2751 1 0
Gene2752 0 0
Gene2753 0 1
Gene2754 0 0
Gene2755 0 1
Gene2756 0 0
Gene2757 0 1
Gene2758 1 0
Gene2759 1 0
Gene2760 0 0
Gene2761 1 1
Gene2762 0 0
Gene2763 1 0
Gene2764 0 1
Gene2765 1 0
Gene2766 0 1
Gene2767 1 0
Gene2768 0 1
Gene2769 1 0
Gene2770 0 1
Gene2771 0 0
Gene2772 0 0
Gene2773 0 0
Gene2774 0 1
Gene2775 0 1
Gene2776 1 1
Gene2777 1 0
Gene2778 0 1
Gene2779 0 0
Gene2780 0 0
Gene2781 0 1
Gene2782 1 0
Gene2783 0 1
Gene2784 1 0
Gene2785 1 1
Gene2786 0 1
Gene2787 1 1
Gene2788 0 0
Gene2789 1 0
Gene2790 1 1
Gene2791 0 0
Gene2792 0 0
Gene2793 1 0
Gene2794 0 0
Gene2795 1 0
Gene2796 0 0
Gene2797 0 1
Gene2798 1 1
Gene2799 0 0
Gene2800 1 0
Gene2801 0 0
Gene2802 0 0
Gene2803 0 0
Gene2804 0 0
Gene2805 1 0
Gene2806 1 0
Gene2807 0 1
Gene2808 1 0
Gene2809 0 0
Gene2810 1 0
Gene2811 1 0
Gene2812 0 0
Gene2813 1 0
Gene2814 1 1
Gene2815 1 0
Gene2816 0 1
Gene2817 0 0
Gene2818 1 0
Gene2819 0 0
Gene2820 1 0
Gene2821 0 0
Gene2822 0 0
Gene2823 1 1
Gene2824 1 1
Gene2825 0 0
Gene2826 0 1
Gene2827 1 1
Gene2828 0 0
Gene2829 1 1
Gene2830 0 1
Gene2831 1 0
Gene2832 0 0
Gene2833 1 1
Gene2834 1 0
Gene2835 0 0
Gene2836 0 0
Gene2837 1 0
Gene2838 0 0
Gene2839 1 1
Gene2840 1 0
Gene2841 0 1
Gene2842 0 0
Gene2843 1 0
Gene2844 1 0
Gene2845 1 0
Gene2846 1 0
Gene2847 1 1
Gene2848 0 0
Gene2849 0 1
Gene2850 0 0
Gene2851 1 1
Gene2852 0 0
Gene2853 0 1
Gene2854 0 1
Gene2855 1 0
Gene2856 0 1
Gene2857 0 0
Gene2858 1 0
Gene2859 0 1
Gene2860 1 1
Gene2861 1 1
Gene2862 0 0
Gene2863 0 0
Gene2864 0 0
Gene2865 1 0
Gene2866 1 0
Gene2867 1 0
Gene2868 1 1
Gene2869 0 0
Gene2870 0 1
Gene2871 1 0
Gene2872 0 1
Gene2873 0 0
Gene2874 0 1
Gene2875 1 0
Gene2876 1 0
Gene2877 0 0
Gene2878 0 1
Gene2879 0 1
Gene2880 1 0
Gene2881 0 0
Gene2882 1 1
Gene2883 1 1
Gene2884 1 1
Gene2885 0 0
Gene2886 1 0
Gene2887 1 0
Gene2888 0 0
Gene2889 1 0
Gene2890 1 0
Gene2891 0 1
Gene2892 1 0
Gene2893 0 0
Gene2894 0 1
Gene2895 0 0
Gene2896 0 0
Gene2897 1 0
